class,f1_per_class
Lamp5 Lsp1,0.9336188436830835
Sst Tac1 Tacr3,0.5853658536585367
Lamp5 Krt73,0.9268292682926829
Vip Igfbp6 Car10,0.7272727272727273
Lamp5 Plch2 Dock5,0.8118081180811807
Vip Lect1 Oxtr,0.8727272727272727
Vip Igfbp6 Pltp,0.9514563106796116
Vip Crispld2 Kcne4,0.8181818181818182
Sncg Vip Itih5,0.6666666666666667
Serpinf1 Aqp5 Vip,0.3333333333333333
Vip Pygm C1ql1,0.7285714285714286
Vip Ptprt Pkp2,0.9157894736842105
Lamp5 Fam19a1 Tmem182,0.6046511627906977
Lamp5 Ntn1 Npy2r,0.7953216374269005
Sst Chrna2 Glra3,0.8250000000000001
Pvalb Reln Tac1,0.8641304347826086
Sst Hpse Sema3c,0.8791208791208791
Sst Mme Fam114a1,0.5714285714285715
Sst Nr2f2 Necab1,0.8095238095238095
Vip Arhgap36 Hmcn1,0.8516746411483254
Sst Chodl,1.0
Sst Myh8 Etv1 ,0.6909090909090908
Vip Igfbp4 Mab21l1,0.5714285714285714
Sst Myh8 Fibin,0.8695652173913044
Sst Chrna2 Ptgdr,0.7927927927927928
L6 CT VISp Krt80 Sla,0.7942583732057417
L6 CT VISp Ctxn3 Sla,0.8052805280528053
L6 CT VISp Ctxn3 Brinp3,0.8666666666666667
L6b VISp Col8a1 Rprm,0.765432098765432
L6 CT VISp Gpr139,0.7857142857142857
L6 IT VISp Col18a1,0.8957055214723926
L6 IT VISp Col23a1 Adamts2,0.8635097493036211
L6 IT VISp Penk Col27a1,0.9492481203007518
L6 IT VISp Penk Fst,0.7608695652173914
Sst Crh 4930553C11Rik ,0.7169811320754718
Vip Crispld2 Htr2c,0.7967479674796748
Sst Calb2 Pdlim5,0.8333333333333334
Pvalb Tpbg,0.923076923076923
Sst Tac1 Htr1d,0.7555555555555555
L2/3 IT VISp Agmat,0.9411764705882354
L2/3 IT VISp Rrad,0.8080808080808081
Lamp5 Lhx6,0.9545454545454545
Sst Hpse Cbln4,0.27272727272727276
Lamp5 Fam19a1 Pax6,0.7777777777777778
Sncg Slc17a8,0.625
Vip Lmo1 Fam159b,0.6808510638297872
Sst Crhr2 Efemp1,0.7777777777777778
L2/3 IT VISp Adamts2,0.8082901554404144
Pvalb Gpr149 Islr,0.8169014084507041
L5 PT VISp Krt80,0.9251101321585902
Sst Tac2 Tacstd2,0.7169811320754718
Pvalb Th Sst,0.7037037037037038
Pvalb Akr1c18 Ntf3,0.6511627906976744
Sst Rxfp1 Prdm8,0.8656716417910447
Pvalb Calb1 Sst,0.7213114754098361
Sst Rxfp1 Eya1,0.7755102040816326
Sst Esm1,0.7887323943661971
Pvalb Reln Itm2a,0.6511627906976745
L5 PT VISp Chrna6,0.9772727272727273
L5 PT VISp C1ql2 Cdh13,0.7999999999999999
L4 IT VISp Rspo1,0.988830975428146
Vip Chat Htr1f,0.870748299319728
L5 NP VISp Trhr Cpne7,0.948051948051948
L5 IT VISp Hsd11b1 Endou,0.9014084507042254
Pvalb Gabrg1,0.9714285714285714
L6 IT VISp Car3,1.0
L5 NP VISp Trhr Met,0.9487179487179488
Vip Lmo1 Myl1,0.8051948051948051
Vip Gpc3 Slc18a3,0.7499999999999999
Sncg Vip Nptx2,0.6341463414634146
Pvalb Vipr2,1.0
L5 IT VISp Batf3,0.9420289855072463
L5 PT VISp C1ql2 Ptgfr,0.9038461538461539
L5 IT VISp Col27a1,0.8833333333333334
L6 CT VISp Nxph2 Wls,0.9210526315789473
L6b VISp Mup5,0.9043478260869566
Sst Tac2 Myh4,0.18181818181818182
Vip Rspo4 Rxfp1 Chat,0.6885245901639343
Vip Rspo1 Itga4,0.24
Serpinf1 Clrn1,0.7499999999999999
Sst Nts,0.6956521739130435
Vip Col15a1 Pde1a,0.5
L6b P2ry12,0.9019607843137256
Sst Calb2 Necab1,0.3157894736842105
L5 IT VISp Col6a1 Fezf2,0.4444444444444444
Sncg Gpr50,0.9032258064516129
Astro Aqp4,0.6666666666666666
L5 PT VISp Lgr5,0.7368421052631577
L6 CT ALM Nxph2 Sla,0.2857142857142857
Pvalb Sema3e Kank4,0.4666666666666666
L5 IT VISp Whrn Tox2,0.6315789473684209
L6b VISp Col8a1 Rxfp1,0.6923076923076923
L6b VISp Crh,0.8636363636363636
