class,f1_per_class
Lamp5 Lsp1,0.9642857142857144
Sst Tac1 Tacr3,0.9019607843137256
Lamp5 Krt73,0.9743589743589743
Vip Igfbp6 Car10,0.7931034482758621
Lamp5 Plch2 Dock5,0.8736462093862815
Vip Lect1 Oxtr,0.9038461538461539
Vip Igfbp6 Pltp,0.9904761904761905
Vip Crispld2 Kcne4,0.8484848484848485
Sncg Vip Itih5,0.7692307692307693
Serpinf1 Aqp5 Vip,0.8571428571428571
Vip Pygm C1ql1,0.7794117647058824
Vip Ptprt Pkp2,0.9417989417989417
Lamp5 Fam19a1 Tmem182,0.7000000000000001
Lamp5 Ntn1 Npy2r,0.8114285714285715
Sst Chrna2 Glra3,0.8733624454148471
Pvalb Reln Tac1,0.9096045197740114
Sst Hpse Sema3c,0.9349112426035502
Sst Mme Fam114a1,0.6
Sst Nr2f2 Necab1,0.8444444444444444
Vip Arhgap36 Hmcn1,0.8557692307692308
Sst Chodl,1.0
Sst Myh8 Etv1 ,0.7142857142857143
Vip Igfbp4 Mab21l1,0.6222222222222222
Sst Myh8 Fibin,0.9315068493150686
Sst Chrna2 Ptgdr,0.8205128205128205
L6 CT VISp Krt80 Sla,0.8571428571428571
L6 CT VISp Ctxn3 Sla,0.8389261744966444
L6 CT VISp Ctxn3 Brinp3,0.8865979381443299
L6b VISp Col8a1 Rprm,0.8108108108108109
L6 CT VISp Gpr139,0.8888888888888888
L6 IT VISp Col18a1,0.8834355828220859
L6 IT VISp Col23a1 Adamts2,0.8802228412256268
L6 IT VISp Penk Col27a1,0.9593188268684958
L6 IT VISp Penk Fst,0.8
Sst Crh 4930553C11Rik ,0.8253968253968255
Vip Crispld2 Htr2c,0.8405797101449276
Sst Calb2 Pdlim5,0.8376068376068375
Pvalb Tpbg,0.9408983451536643
Sst Tac1 Htr1d,0.75
L2/3 IT VISp Agmat,0.9635258358662614
L2/3 IT VISp Rrad,0.8392857142857143
Lamp5 Lhx6,1.0
Sst Hpse Cbln4,0.6875000000000001
Lamp5 Fam19a1 Pax6,0.909090909090909
Sncg Slc17a8,0.8333333333333334
Vip Lmo1 Fam159b,0.7755102040816326
Sst Crhr2 Efemp1,0.8048780487804877
L2/3 IT VISp Adamts2,0.8756218905472637
Pvalb Gpr149 Islr,0.9037037037037037
L5 PT VISp Krt80,0.954954954954955
Sst Tac2 Tacstd2,0.8235294117647058
Pvalb Th Sst,0.7692307692307693
Pvalb Akr1c18 Ntf3,0.7659574468085107
Sst Rxfp1 Prdm8,0.9323308270676692
Pvalb Calb1 Sst,0.7500000000000001
Sst Rxfp1 Eya1,0.9090909090909091
Sst Esm1,0.9253731343283582
Pvalb Reln Itm2a,0.608695652173913
L5 PT VISp Chrna6,1.0
L5 PT VISp C1ql2 Cdh13,0.8828828828828829
L4 IT VISp Rspo1,0.9925925925925925
Vip Chat Htr1f,0.9090909090909092
L5 NP VISp Trhr Cpne7,0.9419354838709677
L5 IT VISp Hsd11b1 Endou,0.9261083743842364
Pvalb Gabrg1,1.0
L6 IT VISp Car3,1.0
L5 NP VISp Trhr Met,0.9419354838709677
Vip Lmo1 Myl1,0.8157894736842106
Vip Gpc3 Slc18a3,0.7560975609756098
Sncg Vip Nptx2,0.7222222222222222
Pvalb Vipr2,1.0
L5 IT VISp Batf3,0.9516908212560387
L5 PT VISp C1ql2 Ptgfr,0.9278350515463919
L5 IT VISp Col27a1,0.9158878504672898
L6 CT VISp Nxph2 Wls,0.9500000000000001
L6b VISp Mup5,0.918918918918919
Sst Tac2 Myh4,0.5333333333333333
Vip Rspo4 Rxfp1 Chat,0.8421052631578948
Vip Rspo1 Itga4,0.5945945945945946
Serpinf1 Clrn1,1.0
Sst Nts,0.8148148148148148
Vip Col15a1 Pde1a,0.5
L6b P2ry12,0.9166666666666666
Sst Calb2 Necab1,0.4444444444444444
L5 IT VISp Col6a1 Fezf2,0.7826086956521738
Sncg Gpr50,0.9032258064516129
Astro Aqp4,1.0
L5 PT VISp Lgr5,0.7777777777777777
L6 CT ALM Nxph2 Sla,0.7272727272727272
Pvalb Sema3e Kank4,0.6666666666666667
L5 IT VISp Whrn Tox2,0.7333333333333334
L6b VISp Col8a1 Rxfp1,0.8000000000000002
L6b VISp Crh,0.8936170212765958
