class,f1_per_class
naive1,0.48556430446194226
CD4,0.6748545572074984
recruited,0.6650366748166259
activ,0.0
Neutrophils,0.9014887551472918
suspected,0.5975669099756691
NK,0.52
exhaust,0.5732031943212068
Tfh,0.34545454545454546
naive2,0.44619422572178474
Unspec-CD8,0.7610486891385768
CD8,0.548238897396631
cyto1,0.4897959183673469
recruited-activated,0.7592165898617512
Ciliated,0.9515418502202643
MAIT,0.18867924528301885
Alveolar,0.7700228832951945
Treg,0.7399267399267401
cDC1,0.0
Cytotox,0.4525316455696202
inf,0.56
Th17,0.1575757575757576
Mast-cells,0.8571428571428571
IFN,0.5609756097560976
patrolling,0.6179775280898876
Unspec-CD4-1,0.4189189189189189
Undefined,0.23129251700680273
B,0.7391304347826088
Plasmacell,0.5625
apopt,0.19047619047619044
cyto2,0.4958677685950413
Unident-L,0.23003194888178913
Unspec-CD4-2,0.14285714285714288
Unspec-Epi,0.6875
Plasmablast,0.37499999999999994
Mucous,0.8157894736842105
Unident-Prolif,0.2222222222222222
cDC3,0.490566037735849
pDC,0.6666666666666666
resident-interstitial,0.15384615384615383
DCmig,0.6666666666666667
Basal,0.6666666666666667
iNKT,0.30769230769230765
cDC2A,0.36363636363636365
cDC2B,0.2962962962962963
EMRA,0.0
Naive,0.0
